recording=232, reason=Recording too short for epoching (length=2.00s, required=5.0s)
recording=1969, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1975, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1979, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1982, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1983, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1984, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1985, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1987, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1990, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1996, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=2000, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=2001, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=2015, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=2018, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=2019, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=2027, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=2030, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=2035, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=2037, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=2039, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=2040, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=2047, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=2050, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=2052, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=2060, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=2061, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=2062, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=2066, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=2067, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=2068, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=2072, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=2075, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=2080, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=2232, reason=Recording too short for epoching (length=5.00s, required=5.0s)
