subject_id,stage,feature,median,iqr,n_epochs
SC4081,N2,bp_rel__delta__Fpz-Cz,0.7918504034479352,0.1905594915057125,1158
SC4081,N3,bp_rel__delta__Fpz-Cz,0.7780912574537235,0.2321169716641856,435
SC4081,REM,bp_rel__delta__Fpz-Cz,0.6287003383001335,0.2385824676690604,639
SC4081,W,bp_rel__delta__Fpz-Cz,0.6741800008210176,0.2222971733102184,6009
SC4082,N1,bp_rel__delta__Fpz-Cz,0.7136541924411881,0.2380372657157314,81
SC4082,N2,bp_rel__delta__Fpz-Cz,0.7358810961559528,0.2205305102224293,1158
SC4082,N3,bp_rel__delta__Fpz-Cz,0.8228612229413546,0.2092400498309601,435
SC4082,REM,bp_rel__delta__Fpz-Cz,0.7009424051173763,0.2154190628601747,639
SC4082,W,bp_rel__delta__Fpz-Cz,0.7591128476557834,0.229945632872505,5588
SC4091,N1,bp_rel__delta__Fpz-Cz,0.7027637605069578,0.1901071730034856,81
SC4091,N2,bp_rel__delta__Fpz-Cz,0.6790665817060064,0.1750847270931784,1158
SC4091,N3,bp_rel__delta__Fpz-Cz,0.7338993937275379,0.2088238760767248,435
SC4091,REM,bp_rel__delta__Fpz-Cz,0.6521715879829072,0.1741182323193106,639
SC4091,W,bp_rel__delta__Fpz-Cz,0.6216947382237783,0.2262316329404557,5882
SC4092,N1,bp_rel__delta__Fpz-Cz,0.630383143122083,0.260345686388615,81
SC4092,N2,bp_rel__delta__Fpz-Cz,0.5971287471726519,0.2237085483179327,1158
SC4092,N3,bp_rel__delta__Fpz-Cz,0.5403962503996625,0.1708994294847126,435
SC4092,REM,bp_rel__delta__Fpz-Cz,0.5883090195807495,0.2409951813058946,639
SC4092,W,bp_rel__delta__Fpz-Cz,0.4503965970390095,0.2532788678791409,6009
SC4101,N1,bp_rel__delta__Fpz-Cz,0.7024157917942665,0.2126375842246373,81
SC4101,N2,bp_rel__delta__Fpz-Cz,0.6698801709510909,0.1819221756634164,1158
SC4101,N3,bp_rel__delta__Fpz-Cz,0.6847643994832121,0.1619153528852119,435
SC4101,REM,bp_rel__delta__Fpz-Cz,0.6414640621796427,0.1584740265872462,639
SC4101,W,bp_rel__delta__Fpz-Cz,0.7947740008283803,0.1446207834853711,5846
SC4102,N1,bp_rel__delta__Fpz-Cz,0.7535397845604177,0.2363116548678148,81
SC4102,N2,bp_rel__delta__Fpz-Cz,0.7156111288766651,0.1801689614178991,1158
SC4102,N3,bp_rel__delta__Fpz-Cz,0.7388530141842382,0.1669218667561866,435
SC4102,REM,bp_rel__delta__Fpz-Cz,0.657344930913636,0.1792216535516975,639
SC4102,W,bp_rel__delta__Fpz-Cz,0.7949739567613392,0.1526788661752822,6009
SC4111,N1,bp_rel__delta__Fpz-Cz,0.5790857781174206,0.2172525069942301,81
SC4111,N2,bp_rel__delta__Fpz-Cz,0.5111166764390838,0.2577690929820511,1158
SC4111,N3,bp_rel__delta__Fpz-Cz,0.7341916615128671,0.1686062967087052,435
SC4111,REM,bp_rel__delta__Fpz-Cz,0.4784967552020184,0.1560028090116392,639
SC4111,W,bp_rel__delta__Fpz-Cz,0.6363465333269844,0.2823750916112203,5612
SC4112,N1,bp_rel__delta__Fpz-Cz,0.5863305436546652,0.2625691813456117,81
SC4112,N2,bp_rel__delta__Fpz-Cz,0.5977626857377101,0.2254271372039401,1158
SC4112,N3,bp_rel__delta__Fpz-Cz,0.5913890451134834,0.2423908707046854,435
SC4112,REM,bp_rel__delta__Fpz-Cz,0.6711054385936701,0.2029644448800809,639
SC4112,W,bp_rel__delta__Fpz-Cz,0.5926178129587052,0.223808071888648,6009
SC4121,N1,bp_rel__delta__Fpz-Cz,0.6972012513122784,0.3472009830797152,81
SC4121,N2,bp_rel__delta__Fpz-Cz,0.7544209914880939,0.2301011192171224,1158
SC4121,N3,bp_rel__delta__Fpz-Cz,0.7268035448743991,0.2158272490054089,435
SC4121,REM,bp_rel__delta__Fpz-Cz,0.6096512908176076,0.2097367913729694,639
SC4121,W,bp_rel__delta__Fpz-Cz,0.7320079565291959,0.2601133007819723,6009
SC4122,N1,bp_rel__delta__Fpz-Cz,0.7494322911669333,0.2848893383992258,81
SC4122,N2,bp_rel__delta__Fpz-Cz,0.7305844027371137,0.2907156525281693,1158
SC4122,N3,bp_rel__delta__Fpz-Cz,0.5824020949140342,0.5242499775474053,435
SC4122,REM,bp_rel__delta__Fpz-Cz,0.6252187620795571,0.4464725016051952,639
SC4122,W,bp_rel__delta__Fpz-Cz,0.7734838581261445,0.2184912794215064,5504
SC4131,N1,bp_rel__delta__Fpz-Cz,0.5390817019423569,0.2221040194422511,81
SC4131,N2,bp_rel__delta__Fpz-Cz,0.5717808966063602,0.2416185519576973,1158
SC4131,N3,bp_rel__delta__Fpz-Cz,0.7841914256327669,0.2016594657911102,435
SC4131,REM,bp_rel__delta__Fpz-Cz,0.539827094122995,0.1680018317333063,639
SC4131,W,bp_rel__delta__Fpz-Cz,0.5648562463036656,0.2830313538583565,6009
SC4141,N1,bp_rel__delta__Fpz-Cz,0.6471956185690674,0.11834269216411,81
SC4141,N2,bp_rel__delta__Fpz-Cz,0.6273540829319215,0.1762034773577435,1158
SC4141,N3,bp_rel__delta__Fpz-Cz,0.6357865091079822,0.1636346352945017,435
SC4141,REM,bp_rel__delta__Fpz-Cz,0.6468802730933392,0.217319581105587,639
SC4141,W,bp_rel__delta__Fpz-Cz,0.587760263550011,0.2227866251051267,5954
SC4142,N1,bp_rel__delta__Fpz-Cz,0.500492353780953,0.1987158766519047,81
SC4142,N2,bp_rel__delta__Fpz-Cz,0.6339691140691486,0.1652425880736344,1158
SC4142,N3,bp_rel__delta__Fpz-Cz,0.8209809532232648,0.0884276011000189,435
SC4142,REM,bp_rel__delta__Fpz-Cz,0.6030278531576652,0.143582653808146,639
SC4142,W,bp_rel__delta__Fpz-Cz,0.5450244476894517,0.2502263916115801,6008
SC4151,N1,bp_rel__delta__Fpz-Cz,0.759089443454425,0.1778831288138775,81
SC4151,N2,bp_rel__delta__Fpz-Cz,0.7196220855498279,0.2357078375782286,1158
SC4151,N3,bp_rel__delta__Fpz-Cz,0.6884072583116893,0.1563682617985734,435
SC4151,REM,bp_rel__delta__Fpz-Cz,0.736745749140979,0.1963431262907845,639
SC4151,W,bp_rel__delta__Fpz-Cz,0.644799655161139,0.3343859715053665,5546
SC4152,N1,bp_rel__delta__Fpz-Cz,0.5738200416293492,0.232361141084631,81
SC4152,N2,bp_rel__delta__Fpz-Cz,0.6196726370935781,0.2249224948482568,1158
SC4152,N3,bp_rel__delta__Fpz-Cz,0.5947079635623758,0.2585633164574111,435
SC4152,REM,bp_rel__delta__Fpz-Cz,0.7446695761751894,0.158347699150865,639
SC4152,W,bp_rel__delta__Fpz-Cz,0.4623916236292472,0.2810050752585409,6009
SC4161,N1,bp_rel__delta__Fpz-Cz,0.696680946576211,0.1586707140170662,81
SC4161,N2,bp_rel__delta__Fpz-Cz,0.6667096142310232,0.1877055183331921,1158
SC4161,N3,bp_rel__delta__Fpz-Cz,0.6905928115078056,0.2091103013374624,435
SC4161,REM,bp_rel__delta__Fpz-Cz,0.6497663357744952,0.1769105484789086,639
SC4161,W,bp_rel__delta__Fpz-Cz,0.7560445202941881,0.2002076831097254,5564
SC4162,N1,bp_rel__delta__Fpz-Cz,0.5021637485330871,0.3271758889908819,81
SC4162,N2,bp_rel__delta__Fpz-Cz,0.5880619814283963,0.2583074738033094,1158
SC4162,N3,bp_rel__delta__Fpz-Cz,0.5889763503453385,0.2780752886231638,435
SC4162,REM,bp_rel__delta__Fpz-Cz,0.5513125651510826,0.2584108485131844,639
SC4162,W,bp_rel__delta__Fpz-Cz,0.5460400823543188,0.3355905804340559,5942
SC4171,N1,bp_rel__delta__Fpz-Cz,0.6958919653314182,0.2263950701314582,81
SC4171,N2,bp_rel__delta__Fpz-Cz,0.7385149259439507,0.1895684531657224,1158
SC4171,N3,bp_rel__delta__Fpz-Cz,0.7906142821136785,0.1401650623473158,435
SC4171,REM,bp_rel__delta__Fpz-Cz,0.6837218285784463,0.1935416907113694,639
SC4171,W,bp_rel__delta__Fpz-Cz,0.6177459025174561,0.2431101958675264,5912
SC4172,N1,bp_rel__delta__Fpz-Cz,0.5068965297472365,0.2710699397590437,81
SC4172,N2,bp_rel__delta__Fpz-Cz,0.6164684679302955,0.2707766919809062,1158
SC4172,N3,bp_rel__delta__Fpz-Cz,0.6043730981618096,0.2427305434200986,435
SC4172,REM,bp_rel__delta__Fpz-Cz,0.6304778796391687,0.2350381523883085,639
SC4172,W,bp_rel__delta__Fpz-Cz,0.5743816629840572,0.268360462719713,5858
SC4181,N1,bp_rel__delta__Fpz-Cz,0.650612166197159,0.2282611482570614,81
SC4181,N2,bp_rel__delta__Fpz-Cz,0.6688620571399932,0.245509607918657,1158
SC4181,N3,bp_rel__delta__Fpz-Cz,0.5978445484267492,0.2152554480591987,435
SC4181,REM,bp_rel__delta__Fpz-Cz,0.6573370307995573,0.1907317423003841,639
SC4181,W,bp_rel__delta__Fpz-Cz,0.771871105028695,0.1587305687717454,5954
SC4182,N1,bp_rel__delta__Fpz-Cz,0.5867409920923522,0.2793438871047327,81
SC4182,N2,bp_rel__delta__Fpz-Cz,0.6052927144404089,0.3238142311509703,1158
SC4182,N3,bp_rel__delta__Fpz-Cz,0.542751307954144,0.2434853650014069,435
SC4182,REM,bp_rel__delta__Fpz-Cz,0.6030148997070934,0.2786574298985578,639
SC4182,W,bp_rel__delta__Fpz-Cz,0.7173393044811021,0.1966425187858425,6009
SC4191,N1,bp_rel__delta__Fpz-Cz,0.5837652258295416,0.1665832292102541,81
SC4191,N2,bp_rel__delta__Fpz-Cz,0.5635989218080735,0.2435950896949761,1158
SC4191,N3,bp_rel__delta__Fpz-Cz,0.7024547248635667,0.2135880995968336,435
SC4191,REM,bp_rel__delta__Fpz-Cz,0.6590302507098027,0.2003746125720599,639
SC4191,W,bp_rel__delta__Fpz-Cz,0.5195017482723998,0.2515644146770573,6008
SC4192,N1,bp_rel__delta__Fpz-Cz,0.536569953023576,0.2322532406125522,81
SC4192,N2,bp_rel__delta__Fpz-Cz,0.5391633765937451,0.262546299944967,1158
SC4192,N3,bp_rel__delta__Fpz-Cz,0.4692787959019666,0.2640521039884971,435
SC4192,REM,bp_rel__delta__Fpz-Cz,0.5865502013936937,0.2790686206110082,639
SC4192,W,bp_rel__delta__Fpz-Cz,0.5377232648179253,0.2517569585503615,5516
SC4201,N1,bp_rel__delta__Fpz-Cz,0.7756997128272474,0.1494975948252845,81
SC4201,N2,bp_rel__delta__Fpz-Cz,0.6808889190581507,0.2108495422331586,1158
SC4201,N3,bp_rel__delta__Fpz-Cz,0.543594530236465,0.3453938338377461,435
SC4201,REM,bp_rel__delta__Fpz-Cz,0.636877542473319,0.2501297350252663,639
SC4201,W,bp_rel__delta__Fpz-Cz,0.6753217950106818,0.3023755377847001,6009
SC4202,N1,bp_rel__delta__Fpz-Cz,0.6340554107277367,0.2459978482604711,81
SC4202,N2,bp_rel__delta__Fpz-Cz,0.519963144226141,0.2715809668213324,1158
SC4202,N3,bp_rel__delta__Fpz-Cz,0.4642055736885686,0.2698944436974879,435
SC4202,REM,bp_rel__delta__Fpz-Cz,0.4891448211651604,0.2554740622492834,639
SC4202,W,bp_rel__delta__Fpz-Cz,0.6718273668189318,0.1792293392065248,5696
SC4211,N1,bp_rel__delta__Fpz-Cz,0.6646942620119334,0.3027129590203165,81
SC4211,N2,bp_rel__delta__Fpz-Cz,0.5922984103291471,0.2229329107086375,1158
SC4211,N3,bp_rel__delta__Fpz-Cz,0.5952797840387288,0.1947278421214068,435
SC4211,REM,bp_rel__delta__Fpz-Cz,0.6348515914172838,0.2194936960346685,639
SC4211,W,bp_rel__delta__Fpz-Cz,0.6490475287491361,0.2040656747000002,6009
SC4212,N1,bp_rel__delta__Fpz-Cz,0.7865784090120272,0.170773982952135,81
SC4212,N2,bp_rel__delta__Fpz-Cz,0.7345325140514724,0.2160624413206882,1158
SC4212,N3,bp_rel__delta__Fpz-Cz,0.7501719801517539,0.1642655431525783,435
SC4212,REM,bp_rel__delta__Fpz-Cz,0.6802414208285247,0.2169766297355186,639
SC4212,W,bp_rel__delta__Fpz-Cz,0.8059561124308537,0.1164999450068843,5768
SC4221,N1,bp_rel__delta__Fpz-Cz,0.6995801971965583,0.1726002627063166,81
SC4221,N2,bp_rel__delta__Fpz-Cz,0.5448082505991659,0.333039049236319,1158
SC4221,N3,bp_rel__delta__Fpz-Cz,0.5803443543635414,0.1892761994445092,435
SC4221,REM,bp_rel__delta__Fpz-Cz,0.6070411825478027,0.2745960161065698,639
SC4221,W,bp_rel__delta__Fpz-Cz,0.4965609885614402,0.3056442271470567,5786
SC4222,N1,bp_rel__delta__Fpz-Cz,0.4948617337218893,0.2403146731042341,81
SC4222,N2,bp_rel__delta__Fpz-Cz,0.6048887322028591,0.2342379892385591,1158
SC4222,N3,bp_rel__delta__Fpz-Cz,0.5771900647548135,0.2001186182333135,435
SC4222,REM,bp_rel__delta__Fpz-Cz,0.5209716262183038,0.2737637830736861,639
SC4222,W,bp_rel__delta__Fpz-Cz,0.5411943869123856,0.3637270230333933,5966
SC4231,N1,bp_rel__delta__Fpz-Cz,0.7134058730556454,0.2501769327588187,81
SC4231,N2,bp_rel__delta__Fpz-Cz,0.6478047856361906,0.1819877066233517,1158
SC4231,N3,bp_rel__delta__Fpz-Cz,0.7700006505647711,0.1452784047705304,435
SC4231,REM,bp_rel__delta__Fpz-Cz,0.5620701489310628,0.2106588033916941,639
SC4231,W,bp_rel__delta__Fpz-Cz,0.7399198598714053,0.2137284062500392,5924
SC4232,N1,bp_rel__delta__Fpz-Cz,0.571477001176874,0.2467995563541817,81
SC4232,N2,bp_rel__delta__Fpz-Cz,0.5431638790349964,0.2222276663030581,1158
SC4232,N3,bp_rel__delta__Fpz-Cz,0.6828168672367602,0.1872614322841935,435
SC4232,REM,bp_rel__delta__Fpz-Cz,0.5124887587442397,0.2002321485487403,639
SC4232,W,bp_rel__delta__Fpz-Cz,0.6433658688950452,0.2419804994111088,5606
SC4241,N1,bp_rel__delta__Fpz-Cz,0.8105057571606243,0.1130687725859359,81
SC4241,N2,bp_rel__delta__Fpz-Cz,0.6668434719821098,0.2174846880999974,1158
SC4241,N3,bp_rel__delta__Fpz-Cz,0.6746956638681569,0.2047379913380271,435
SC4241,REM,bp_rel__delta__Fpz-Cz,0.7038056230215327,0.1591072005382318,639
SC4241,W,bp_rel__delta__Fpz-Cz,0.7544208096811726,0.1405445136018641,5792
SC4242,N1,bp_rel__delta__Fpz-Cz,0.6071235660843551,0.3055727614193942,81
SC4242,N2,bp_rel__delta__Fpz-Cz,0.5920520613854025,0.2509941676629729,1158
SC4242,N3,bp_rel__delta__Fpz-Cz,0.6881865225378287,0.1691530208658813,435
SC4242,REM,bp_rel__delta__Fpz-Cz,0.563654572757521,0.2231289976842842,639
SC4242,W,bp_rel__delta__Fpz-Cz,0.6152274987716682,0.2001338841578366,5816
SC4251,N1,bp_rel__delta__Fpz-Cz,0.6158980075980656,0.2565110285781071,81
SC4251,N2,bp_rel__delta__Fpz-Cz,0.6543772382189293,0.2164298439360472,1158
SC4251,N3,bp_rel__delta__Fpz-Cz,0.745205923222854,0.1538658033864659,435
SC4251,REM,bp_rel__delta__Fpz-Cz,0.6890146732083973,0.1999357147387981,639
SC4251,W,bp_rel__delta__Fpz-Cz,0.5715258779322279,0.227096459211665,5966
SC4252,N1,bp_rel__delta__Fpz-Cz,0.6189062424181221,0.229952296637885,81
SC4252,N2,bp_rel__delta__Fpz-Cz,0.6517571417280257,0.225139460246673,1158
SC4252,N3,bp_rel__delta__Fpz-Cz,0.6831568410599107,0.1837000280812823,435
SC4252,REM,bp_rel__delta__Fpz-Cz,0.7587428435185604,0.1442490008207075,639
SC4252,W,bp_rel__delta__Fpz-Cz,0.6005697776029595,0.2607354967432252,5684
SC4261,N1,bp_rel__delta__Fpz-Cz,0.5058994257229773,0.1680016305897207,81
SC4261,N2,bp_rel__delta__Fpz-Cz,0.5804904199600645,0.2503169889895934,1158
SC4261,N3,bp_rel__delta__Fpz-Cz,0.5261949585794871,0.2152891323901136,435
SC4261,REM,bp_rel__delta__Fpz-Cz,0.5185134306004014,0.1652424938246953,639
SC4261,W,bp_rel__delta__Fpz-Cz,0.6099706150067757,0.3324735013793371,6009
SC4262,N1,bp_rel__delta__Fpz-Cz,0.4525203992177021,0.2931731347476664,81
SC4262,N2,bp_rel__delta__Fpz-Cz,0.4760559808417579,0.2603532506373444,1158
SC4262,N3,bp_rel__delta__Fpz-Cz,0.548431776758455,0.2363743289288279,435
SC4262,REM,bp_rel__delta__Fpz-Cz,0.4223763355172244,0.1945029577153904,639
SC4262,W,bp_rel__delta__Fpz-Cz,0.5561798388283188,0.3310388193877061,5846
SC4271,N1,bp_rel__delta__Fpz-Cz,0.5157870134653024,0.27937556937176,81
SC4271,N2,bp_rel__delta__Fpz-Cz,0.4954441004270841,0.2903309878708665,1158
SC4271,N3,bp_rel__delta__Fpz-Cz,0.5070161774572903,0.300216793309961,435
SC4271,REM,bp_rel__delta__Fpz-Cz,0.5162702074321964,0.2068612885906357,639
SC4271,W,bp_rel__delta__Fpz-Cz,0.5443866748907589,0.284771362822784,5006
SC4272,N1,bp_rel__delta__Fpz-Cz,0.5545986724587795,0.3647759113105569,81
SC4272,N2,bp_rel__delta__Fpz-Cz,0.6063408354220347,0.2578314437737594,1158
SC4272,N3,bp_rel__delta__Fpz-Cz,0.6580543334310891,0.2135191172868683,435
SC4272,REM,bp_rel__delta__Fpz-Cz,0.4990602355280886,0.2614307982604415,639
SC4272,W,bp_rel__delta__Fpz-Cz,0.6354504851556702,0.2560401045678237,6009
SC4281,N1,bp_rel__delta__Fpz-Cz,0.7713582006083274,0.1870256273688146,81
SC4281,N2,bp_rel__delta__Fpz-Cz,0.7626505634395819,0.2381335534707042,1158
SC4281,N3,bp_rel__delta__Fpz-Cz,0.7117521324758816,0.3865484743273026,435
SC4281,REM,bp_rel__delta__Fpz-Cz,0.770651541317511,0.1906364748706617,639
SC4281,W,bp_rel__delta__Fpz-Cz,0.7452525751701286,0.2164339819356781,6009
SC4282,N1,bp_rel__delta__Fpz-Cz,0.8097839297411473,0.2383720675197377,81
SC4282,N2,bp_rel__delta__Fpz-Cz,0.7030522063811122,0.3225864267816054,1158
SC4282,N3,bp_rel__delta__Fpz-Cz,0.8101876082140953,0.2231420891022466,435
SC4282,REM,bp_rel__delta__Fpz-Cz,0.8132074380571154,0.3452344153254512,639
SC4282,W,bp_rel__delta__Fpz-Cz,0.7407985117813829,0.2900443475682484,6009
SC4291,N1,bp_rel__delta__Fpz-Cz,0.6845762939744695,0.3239861339042116,81
SC4291,N2,bp_rel__delta__Fpz-Cz,0.6636093063525867,0.2535740071633536,1158
SC4291,N3,bp_rel__delta__Fpz-Cz,0.6055171659842026,0.2065050172105023,435
SC4291,REM,bp_rel__delta__Fpz-Cz,0.5960792155653736,0.2042065278879111,639
SC4291,W,bp_rel__delta__Fpz-Cz,0.697552278697299,0.1924767600994511,5954
SC4292,N1,bp_rel__delta__Fpz-Cz,0.5779071316016309,0.2406099319202393,81
SC4292,N2,bp_rel__delta__Fpz-Cz,0.632553165063955,0.2275566564271079,1158
SC4292,N3,bp_rel__delta__Fpz-Cz,0.826430094999394,0.1351177816238035,435
SC4292,REM,bp_rel__delta__Fpz-Cz,0.558249976513029,0.2011966836511374,639
SC4292,W,bp_rel__delta__Fpz-Cz,0.6885858047561211,0.1926465682664572,6009
SC4301,N1,bp_rel__delta__Fpz-Cz,0.5724590104989549,0.2370853675537225,81
SC4301,N2,bp_rel__delta__Fpz-Cz,0.5410735808895183,0.2241708728370396,1158
SC4301,N3,bp_rel__delta__Fpz-Cz,0.5760686494457625,0.2267711342570817,435
SC4301,REM,bp_rel__delta__Fpz-Cz,0.3802101009926678,0.2217527670893818,639
SC4301,W,bp_rel__delta__Fpz-Cz,0.5490484380061142,0.2796244842329018,5624
SC4302,N1,bp_rel__delta__Fpz-Cz,0.4759001269516977,0.243730729152599,81
SC4302,N2,bp_rel__delta__Fpz-Cz,0.4620569917609238,0.3039110491618709,1158
SC4302,N3,bp_rel__delta__Fpz-Cz,0.4450375608483918,0.2555800373451095,435
